model,y_bin,rmse,mae,n
ENSEMBLE,12-14,1.128893176376708,0.9045433140833278,150
ENSEMBLE,<12,1.232535511995024,0.9596083823136379,234
ENSEMBLE,>14,2.703692225788944,2.5925485835103954,36
MPHNN,12-14,1.3662370695717596,1.1501086514790853,150
MPHNN,<12,1.3989461560333005,1.0743582896697217,234
MPHNN,>14,3.202253607940303,3.094631777869331,36
PLS,12-14,1.1104961230277353,0.8315263623227683,150
PLS,<12,1.4031305792837265,1.1083436388446004,234
PLS,>14,2.2247168697416004,2.0995706796784193,36
SVR,12-14,1.2110425733392594,0.9520165993442765,150
SVR,<12,1.4768941771974762,1.1467243278723258,234
SVR,>14,2.725503243427646,2.5537833172086803,36
