model,y_bin,rmse,mae,n
ENSEMBLE,12-14,1.0190235824789025,0.8160520635581704,150
ENSEMBLE,<12,1.1700022467859827,0.9113486432963941,234
ENSEMBLE,>14,2.8511521735238157,2.7471838565215867,36
MPHNN,12-14,1.5849900905095988,1.4663541882832845,150
MPHNN,<12,1.410878223664596,1.0542380332946777,234
MPHNN,>14,3.862395360703946,3.780547857284547,36
PLS,12-14,1.0699396380122395,0.8003398572294839,150
PLS,<12,1.3680464114009379,1.0735720968318487,234
PLS,>14,2.211683534828476,2.053238475892149,36
SVR,12-14,1.2971534225367656,1.012957871995293,150
SVR,<12,1.5467229050145623,1.1869678010347202,234
SVR,>14,2.8644855199982655,2.638075305321608,36
