protocol,held_out,model,rmse,mae,r2
LOBO,kiwi-1.csv,PLS,1.3498127140704206,1.0565721061038384,0.421485925557884
LOBO,kiwi-1.csv,SVR,1.5920100688375183,1.2180524212376116,0.19525456739388136
LOBO,kiwi-1.csv,MPHNN,1.7762049630807077,1.4107352570125034,-0.0017354858568354725
LOBO,kiwi-1.csv,ENSEMBLE,1.368234652707898,1.0354041137790615,0.4055873120317415
LOBO,kiwi-2.csv,PLS,1.4844655090969787,1.1430569432346553,0.3003076542335842
LOBO,kiwi-2.csv,SVR,1.6661684026949273,1.296649512703352,0.11853577931011494
LOBO,kiwi-2.csv,MPHNN,1.9052738248208279,1.508272878101894,-0.15260819287548322
LOBO,kiwi-2.csv,ENSEMBLE,1.327689289602503,1.0143143961425927,0.440294204479712
LOBO,kiwi-3.csv,PLS,1.2597211458281696,0.9802526247700245,0.4961332048550595
LOBO,kiwi-3.csv,SVR,1.6126851884380844,1.232904189151868,0.17421670217917784
LOBO,kiwi-3.csv,MPHNN,1.752099816525804,1.3863100855691093,0.02526942633328022
LOBO,kiwi-3.csv,ENSEMBLE,1.3623933123429028,1.0542958536487663,0.41065187466494013
