model,y_bin,rmse,mae,n
MPHNN,12-14,1.354879606534083,1.127182226816813,150
MPHNN,<12,1.4999058002103438,1.1875053821465906,234
MPHNN,>14,3.322278449499665,3.230441914664375,36
PLS,12-14,1.0598965779726004,0.7922658067164254,150
PLS,<12,1.4065322438285626,1.0556727659115215,234
PLS,>14,2.158443467498388,2.013102585405586,36
SVR,12-14,1.207039094301485,0.9627508253304413,150
SVR,<12,1.4479979555602793,1.1312171685055308,234
SVR,>14,2.835984842631007,2.614392950420734,36
XGB,12-14,1.3469647478984546,1.1063245137532551,150
XGB,<12,1.4937956903795426,1.1370136758201144,234
XGB,>14,3.1159104101806907,2.771912707222833,36
