protocol,fold,model,rmse,mae,r2
CV,0,PLS,1.1394525041776042,0.8667949026438513,0.5584134718020508
CV,0,SVR,1.3746969307371775,1.0661369509028813,0.3572571010118223
CV,0,MPHNN,1.699724935088006,1.400117440450759,0.01739119289284885
CV,0,XGB,1.4237323782069458,1.1118594896225702,0.3105860216778763
CV,1,PLS,1.3692716139290773,1.1093895561542213,0.4729880531860766
CV,1,SVR,1.6516949764613145,1.3311150129438076,0.23316673149119005
CV,1,MPHNN,1.7672284319970089,1.3666895707448323,0.12213723122067732
CV,1,XGB,1.8574904551450302,1.441349558603196,0.03017263999878461
CV,2,PLS,1.5002304570320941,1.0392668941815864,0.32100149776718245
CV,2,SVR,1.6238904350557035,1.249829616689172,0.20445214763802522
CV,2,MPHNN,1.7996420000214046,1.3670119875953313,0.022931301293241835
CV,2,XGB,1.745020639829796,1.2815957069396973,0.08134171454326944
CV,3,PLS,1.2174146830507309,0.9719749257923362,0.4001404710144687
CV,3,SVR,1.5066959697487559,1.1280785206338149,0.08119416513125233
CV,3,MPHNN,1.519603230010976,1.1841230823880151,0.06538465469407928
CV,3,XGB,1.4315853171021178,1.0826625869387676,0.17051800744514756
CV,4,PLS,1.614844519819555,1.2308950462918258,0.21089084228671318
CV,4,SVR,1.5376488991896404,1.2157397493661202,0.28453232213779656
CV,4,MPHNN,1.6478497110242463,1.3874091375441777,0.17830459990926528
CV,4,XGB,1.7450210542518136,1.4134699753352573,0.07853891710996319
