protocol,held_out,model,rmse,mae,r2
LOBO,kiwi-1.csv,PLS,1.2687359831406846,0.9865269867820733,0.4888958413161659
LOBO,kiwi-1.csv,SVR,1.5584547065651835,1.2180858895252662,0.22882086651122324
LOBO,kiwi-1.csv,XGB,1.665876186830558,1.2522279575892858,0.1188449380259946
LOBO,kiwi-1.csv,MPHNN,1.765747685605326,1.4020268426622664,0.01002508175294814
LOBO,kiwi-2.csv,PLS,1.484465509097012,1.1430569432346747,0.30030765423355266
LOBO,kiwi-2.csv,SVR,1.6661684026949273,1.296649512703352,0.11853577931011494
LOBO,kiwi-2.csv,XGB,1.6316488870702994,1.2836818735940116,0.15468160782666573
LOBO,kiwi-2.csv,MPHNN,1.829110051991888,1.4542850140162877,-0.062298511818130065
LOBO,kiwi-3.csv,PLS,1.3209883010319072,1.0350853816974055,0.4459297358878216
LOBO,kiwi-3.csv,SVR,1.5833193648691313,1.2386111048265787,0.20401671663631715
LOBO,kiwi-3.csv,XGB,1.6828862677472685,1.3287162944248743,0.10075830938789576
LOBO,kiwi-3.csv,MPHNN,1.7721644795616918,1.4049569443293979,0.0028167952309736677
